,it,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Transmission,Year of Manufacture,Features,Comfort & Convenience,Interior,Exterior,Safety,Mileage,Engine,Max Power,Torque,Color,Displacement,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn,City
0,0,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,3979,VXI,400000,2015,Third Party,Petrol,Manual,2015.0,8,10,7,5,13,23.1,998.0,67.04,90.0,White,998.0,3.0,4.0,No,3715.0,1635.0,1565.0,2425.0,835.0,5.0,5.0,Power,4.7,Disc,Drum,Tubeless,5.0,235,Bangalore
1,0,SUV,32706,Manual,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,811000,2018,Comprehensive,Petrol,Manual,2018.0,9,10,7,5,13,17,1497.0,121.31,150.0,White,1497.0,3.0,4.0,No,3998.0,1765.0,1647.0,2519.0,1242.0,5.0,5.0,Power,5.3,Disc,Drum,Tubeless,4.0,352,Bangalore
2,0,Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,585000,2018,Comprehensive,Petrol,Manual,2018.0,9,10,7,5,13,23.84,1199.0,84.0,114.0,Red,1199.0,3.0,4.0,No,3746.0,1647.0,1535.0,2400.0,1012.0,5.0,5.0,Power,4.9,Disc,Drum,Tubeless,5.0,242,Bangalore
3,0,Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,462000,2014,Comprehensive,Petrol,Manual,2014.0,9,10,7,5,13,19.1,1197.0,81.86,113.75,Others,1197.0,4.0,4.0,No,3995.0,1660.0,1520.0,2425.0,1180.0,5.0,5.0,Power,4.7,Disc,Drum,Tubeless,4.0,407,Bangalore
4,0,SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,790000,2015,Third Party,Diesel,Manual,2015.0,9,10,7,5,13,23.65,1248.0,88.5,200.0,Gray,1248.0,4.0,4.0,Yes,4300.0,1785.0,1595.0,2600.0,1230.0,5.0,5.0,Power,5.2,Disc,Disc,Tubeless,5.0,353,Bangalore
5,0,SUV,20000,Manual,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,1900000,2020,Third Party,Diesel,Manual,2020.0,9,10,7,5,13,17.1,1956.0,170.0,350.0,Others,1956.0,4.0,4.0,Yes,4395.0,1818.0,1640.0,2636.0,1551.0,6.0,5.0,Power,5.090082543564658,Disc,Disc,Tubeless,5.0,408,Bangalore
6,0,Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,5223,T Option BSIV,345000,2017,Comprehensive,Petrol,Manual,2017.0,9,10,7,5,13,20.63,1198.0,67.0,104.0,Grey,1198.0,3.0,4.0,No,3785.0,1635.0,1490.0,2450.0,1070.0,5.0,5.0,Power,4.6,Disc,Drum,Tubeless,5.0,265,Bangalore
7,0,SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,1200000,2021,Third Party,Petrol,Automatic,2021.0,9,10,7,5,13,18.15,998.0,118.35,171.6,Others,998.0,3.0,4.0,Yes,3995.0,1770.0,1605.0,2500.0,1440.0,7.0,5.0,Power,5.090082543564658,Disc,Drum,Radial,5.0,350,Bangalore
8,0,Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,960000,2018,Comprehensive,Petrol,Automatic,2018.0,9,10,7,5,13,20.28,1462.0,103.25,138.0,Maroon,1462.0,4.0,4.0,No,4490.0,1730.0,1485.0,2650.0,1105.0,4.0,5.0,Power,5.4,Disc,Drum,Tubeless,4.0,510,Bangalore
9,0,Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,585000,2018,Comprehensive,Petrol,Manual,2017.0,9,10,7,5,13,23.84,1199.0,84.0,114.0,Red,1199.0,3.0,4.0,No,3746.0,1647.0,1535.0,2400.0,1012.0,5.0,5.0,Power,4.9,Disc,Drum,Tubeless,5.0,242,Bangalore
