,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
0,0,120000,1,3,11,2015,2,3,12,8,23.1,998,67.04,90.0,5.0,12,3,4,0,3715.0,1635.0,1565.0,2425.0,5,3,0,1,1,5,0
1,3,32706,1,2,4,2018,0,3,12,9,17.0,1497,121.31,150.0,5.0,12,3,4,0,3998.0,1765.0,1647.0,2519.0,5,3,0,1,1,4,0
2,0,11949,1,1,17,2018,0,3,12,9,23.84,1199,84.0,114.0,5.0,10,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,0
3,4,17794,1,1,7,2014,0,3,12,9,19.1,1197,81.86,113.75,5.0,8,4,4,0,3995.0,1660.0,1520.0,2425.0,5,3,0,1,1,4,0
4,3,60000,1,1,11,2015,2,1,12,9,23.65,1248,88.5,200.0,5.0,4,4,4,1,4300.0,1785.0,1595.0,2600.0,5,3,0,0,1,5,0
6,0,37772,1,1,2,2017,0,3,12,9,20.63,1198,67.0,104.0,5.0,4,3,4,0,3785.0,1635.0,1490.0,2450.0,5,3,0,1,1,5,0
7,3,30000,0,1,7,2021,2,3,12,9,18.15,998,118.35,171.6,5.0,8,3,4,1,3995.0,1770.0,1605.0,2500.0,7,3,0,1,0,5,0
9,0,11949,1,1,17,2017,0,3,12,9,23.84,1199,84.0,114.0,5.0,10,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,0
10,0,50000,1,1,11,2018,2,3,29,9,21.4,1197,83.1,115.0,5.0,10,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,0
11,0,24887,0,1,7,2019,2,3,12,9,18.9,1197,81.86,113.75,5.0,7,4,4,0,3765.0,1660.0,1520.0,2425.0,4,3,0,1,1,5,0
