,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
0,Hatchback,120000,Manual,3,Maruti,2015,400000.0,Third Party,Petrol,8,23.1,998.0,67.04,90.0,white,3.0,4.0,No,3715.0,1635.0,1565.0,2425.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1,SUV,32706,Manual,2,Ford,2018,811000.0,Comprehensive,Petrol,9,17.0,1497.0,121.31,150.0,white,3.0,4.0,No,3998.0,1765.0,1647.0,2519.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
2,Hatchback,11949,Manual,1,Tata,2018,585000.0,Comprehensive,Petrol,9,23.84,1199.0,84.0,114.0,red,3.0,4.0,No,3746.0,1647.0,1535.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
3,Sedan,17794,Manual,1,Hyundai,2014,462000.0,Comprehensive,Petrol,9,19.1,1197.0,81.86,113.75,others,4.0,4.0,No,3995.0,1660.0,1520.0,2425.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
4,SUV,60000,Manual,1,Maruti,2015,790000.0,Third Party,Diesel,9,23.65,1248.0,88.5,200.0,gray,4.0,4.0,Yes,4300.0,1785.0,1595.0,2600.0,5.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
5,SUV,20000,Manual,1,Jeep,2020,1900000.0,Third Party,Diesel,9,17.1,1956.0,170.0,350.0,others,4.0,4.0,Yes,4395.0,1818.0,1640.0,2636.0,6.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
6,Hatchback,37772,Manual,1,Datsun,2017,345000.0,Comprehensive,Petrol,9,20.63,1198.0,67.0,104.0,gray,3.0,4.0,No,3785.0,1635.0,1490.0,2450.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
7,SUV,30000,Automatic,1,Hyundai,2021,1200000.0,Third Party,Petrol,9,18.15,998.0,118.35,171.6,others,3.0,4.0,Yes,3995.0,1770.0,1605.0,2500.0,7.0,5.0,Power,Disc,Drum,Radial,5.0,Bangalore
8,Sedan,37000,Automatic,1,Maruti,2018,960000.0,Comprehensive,Petrol,9,20.28,1462.0,103.25,138.0,maroon,4.0,4.0,No,4490.0,1730.0,1485.0,2650.0,4.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
9,Hatchback,11949,Manual,1,Tata,2017,585000.0,Comprehensive,Petrol,9,23.84,1199.0,84.0,114.0,red,3.0,4.0,No,3746.0,1647.0,1535.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
10,Hatchback,50000,Manual,1,Maruti,2018,690000.0,Third Party,Petrol,9,21.4,1197.0,83.1,115.0,red,4.0,4.0,No,3995.0,1745.0,1510.0,2520.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
11,Hatchback,24887,Automatic,1,Hyundai,2019,682000.0,Third Party,Petrol,9,18.9,1197.0,81.86,113.75,orange,4.0,4.0,No,3765.0,1660.0,1520.0,2425.0,4.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
12,Hatchback,23000,Automatic,1,Honda,2018,825000.0,Comprehensive,Petrol,9,18.2,1199.0,88.7,110.0,gray,4.0,4.0,No,3955.0,1694.0,1544.0,2530.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
13,Hatchback,48928,Automatic,1,Tata,2018,595000.0,Comprehensive,Petrol,9,23.84,1199.0,83.83,114.0,red,3.0,4.0,No,3746.0,1647.0,1535.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
14,SUV,108862,Manual,3,Mahindra,2014,690000.0,Comprehensive,Diesel,9,15.1,2179.0,140.0,330.0,silver,4.0,4.0,Yes,4585.0,1890.0,1785.0,2700.0,6.0,7.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
15,SUV,80000,Manual,1,Jeep,2018,1350000.0,Third Party,Diesel,9,17.1,1956.0,170.0,350.0,others,4.0,4.0,Yes,4395.0,1818.0,1640.0,2636.0,6.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
16,Hatchback,65376,Manual,2,Hyundai,2014,521000.0,Comprehensive,Diesel,9,21.27,1396.0,88.76,219.6,blue,4.0,4.0,No,3995.0,1710.0,1505.0,2525.0,6.0,5.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
17,SUV,10000,Manual,1,Tata,2022,1005000.0,Third Party,Petrol,9,17.33,1199.0,118.35,170.0,others,3.0,4.0,No,3993.0,1811.0,1606.0,2498.0,6.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
18,Sedan,67000,Manual,2,Honda,2016,775000.0,Comprehensive,Petrol,9,17.8,1497.0,117.3,145.0,brown,4.0,4.0,No,4440.0,1695.0,1495.0,2600.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
19,Sedan,100000,Automatic,3,BMW,2011,2200000.0,Third Party,Diesel,9,18.48,1995.0,103.7259811197063,35.7,white,4.0,4.0,No,4841.0,1846.0,1468.0,2888.0,6.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
20,Hatchback,18083,Manual,1,Maruti,2016,582000.0,Comprehensive,Petrol,9,22.38,1197.0,88.5,113.0,silver,4.0,4.0,No,3845.0,1735.0,1530.0,2450.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
21,SUV,30000,Manual,1,Renault,2020,1090000.0,Third Party,Petrol,9,16.42,1498.0,104.55,142.0,others,4.0,4.0,No,4360.0,1822.0,1695.0,2673.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
22,Hatchback,57634,Manual,2,Tata,2016,457000.0,Comprehensive,Petrol,9,23.84,1199.0,84.0,114.0,silver,3.0,4.0,No,3746.0,1647.0,1535.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
23,Sedan,50000,Automatic,2,Mercedes-Benz,2016,4900000.0,Third Party,Petrol,9,7.81,4663.0,453.26,700.0,others,8.0,4.0,Yes,5246.0,2130.0,1494.0,3165.0,7.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
24,Sedan,110000,Manual,1,Honda,2015,550000.0,Third Party,Petrol,9,17.4,1497.0,117.3,145.0,others,4.0,4.0,No,4440.0,1695.0,1495.0,2600.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
25,Hatchback,23447,Automatic,1,Hyundai,2018,570000.0,Comprehensive,Petrol,9,20.3,1086.0,68.0,99.0,yellow,4.0,3.0,No,3610.0,1645.0,1560.0,2400.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
26,Hatchback,30000,Manual,2,Hyundai,2009,220000.0,Third Party,LPG,9,13.45,1086.0,62.1,96.1,others,3.0,4.0,No,3565.0,1525.0,1590.0,2380.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
27,Sedan,33000,Automatic,1,Mercedes-Benz,2017,4145000.0,Comprehensive,Petrol,9,15.0,1991.0,194.4,300.0,white,4.0,4.0,Yes,5063.0,1860.0,1494.0,3079.0,9.0,5.0,Electronic,Disc,Disc,Tubeless,4.0,Bangalore
28,SUV,87667,Manual,2,Mahindra,2014,861000.0,Third Party,Diesel,9,15.1,2179.0,140.0,330.0,black,4.0,4.0,Yes,4585.0,1890.0,1785.0,2700.0,6.0,7.0,Power,Disc,Disc,Tubeless,5.0,Bangalore
